dropoff_longitude,pickup_longitude,pickup_latitude,dropoff_latitude
-73.968414,-73.968414,40.862823,40.862823
-73.998947,-73.991608,40.729984,40.728165000000004
-73.981697,-73.97545600000001,40.756268,40.746346
-73.991318,-73.991425,40.727142,40.729927
-73.979256,-73.982224,40.777962,40.791183000000004
-74.008453,-73.997047,40.737559999999995,40.7206
-74.004623,-73.953194,40.822829999999996,40.742321000000004
-73.957718,-73.776779,40.645233000000005,40.776237
-73.995712,-74.00766,40.740875,40.721684
-73.986496,-73.993042,40.768242,40.75935
-73.964836,-73.957008,40.774906,40.767338
-73.950058,-73.961563,40.774345000000004,40.809769
-74.00614200000001,-74.00676700000001,40.731021999999996,40.734776000000004
-73.990623,-73.98060600000001,40.774803000000006,40.765041
-73.929451,-73.929451,40.812256,40.812256
-74.004478,-74.017197,40.713196,40.756771
-73.789795,-73.972099,40.781513000000004,40.64703
-73.98082,-73.99496500000001,40.750187,40.773483
-73.987953,-73.98204,40.768478,40.765526
-73.99073,-73.979652,40.771285999999996,40.750652
-73.993279,-73.989052,40.721493,40.742313
-73.986275,-73.951332,40.712269,40.730515000000004
-73.96416500000001,-73.776627,40.645382,40.719536
-73.967766,-73.987114,40.738186,40.771355
-73.995605,-73.990189,40.750510999999996,40.741783
-73.96028100000001,-73.99942800000001,40.723335,40.713413
-73.976501,-74.01011700000001,40.711285,40.751869
-74.01567800000001,-74.001755,40.740364,40.715759000000006
-73.962296,-73.984184,40.767891,40.773556
-73.96171600000001,-73.977455,40.752419,40.770199
-73.989784,-73.979874,40.756104,40.757687
-73.978302,-73.98548100000001,40.747093,40.725128000000005
-73.954483,-73.96480600000001,40.774871999999995,40.773903000000004
-73.97599,-74.002487,40.733337,40.747608
-74.01429,-73.99051700000001,40.686646,40.70293
-73.97805,-73.98526,40.739719,40.748917
-73.977074,-73.977287,40.77956,40.753147
-74.000031,-73.873039,40.774193,40.733109000000006
-73.99369,-73.95037099999999,40.783142,40.757061
-73.852386,-73.79118299999999,40.645775,40.754494
-73.995255,-74.008003,40.738766,40.749771
-73.98761,-73.979736,40.754063,40.732964
-73.982483,-73.983665,40.754932000000004,40.73772
-73.99189,-73.99472800000001,40.750378000000005,40.75528
-73.980377,-73.97399899999999,40.757141,40.745636
-73.95259899999999,-73.95027900000001,40.783905,40.773056
-73.976036,-73.979782,40.776115000000004,40.755398
-73.998283,-74.001991,40.715569,40.735291
-74.00286899999999,-73.98599200000001,40.76804,40.760506
-74.005257,-74.000107,40.732841,40.743443
-73.96149399999999,-73.987564,40.749241,40.797981
-73.988976,-73.986565,40.757233,40.752018
